id,lat,lon,aqi,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,wind_deg,weather_desc,roads,industrial,farmland,dump
pt_00167,11.237107,78.904866,160.0,160.0,75.0,8.0,3.0,6.1,40.1,28.54,60.0,6.33,18.0,overcast clouds,13,0,0,0
pt_00168,11.237107,79.133833,160.0,160.0,75.0,8.0,3.0,6.1,40.1,28.73,61.0,6.62,11.0,overcast clouds,0,0,0,0
pt_00169,11.237107,79.3628,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.87,61.0,6.67,17.0,overcast clouds,0,0,0,0
pt_00170,11.237107,79.591767,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.55,65.0,6.45,21.0,overcast clouds,6,0,0,0
pt_00171,11.237107,79.820735,160.0,160.0,75.0,8.0,3.0,6.1,40.1,25.83,70.0,7.56,18.0,overcast clouds,14,0,0,0
pt_00172,11.461685,75.70527,105.0,105.0,58.0,6.2,2.4,3.3,13.1,30.35,43.0,2.34,230.0,overcast clouds,17,0,0,0
pt_00173,11.461685,75.934418,74.0,74.0,44.0,7.9,3.1,4.4,13.8,32.09,36.0,0.45,336.0,overcast clouds,4,0,0,0
pt_00174,11.461685,76.163565,74.0,74.0,44.0,7.9,3.1,4.4,13.8,25.72,37.0,1.47,20.0,overcast clouds,0,0,0,0
pt_00175,11.461685,76.392713,74.0,74.0,44.0,7.9,3.1,4.4,13.8,25.81,41.0,1.81,335.0,overcast clouds,0,0,0,0
pt_00176,11.461685,76.62186,64.0,64.0,46.0,1.2,6.4,,2.1,18.48,43.0,1.95,15.0,overcast clouds,1,0,0,0
pt_00177,11.461685,76.851008,64.0,64.0,46.0,1.2,6.4,,2.1,19.76,46.0,2.85,75.0,overcast clouds,5,0,0,0
pt_00178,11.461685,77.080155,64.0,64.0,46.0,1.2,6.4,,2.1,26.69,51.0,2.12,134.0,overcast clouds,0,0,0,0
pt_00179,11.461685,77.309303,157.0,157.0,85.0,3.9,1.0,4.6,1.2,27.56,44.0,1.87,124.0,overcast clouds,24,0,0,0
pt_00180,11.461685,77.53845,157.0,157.0,85.0,3.9,1.0,4.6,1.2,28.48,58.0,4.12,59.0,overcast clouds,1,0,0,0
pt_00181,11.461685,77.767598,157.0,157.0,85.0,3.9,1.0,4.6,1.2,28.58,46.0,4.11,30.0,overcast clouds,12,0,0,0
pt_00182,11.461685,77.996745,157.0,157.0,85.0,3.9,1.0,4.6,1.2,28.25,52.0,2.87,40.0,overcast clouds,36,0,0,0
pt_00183,11.461685,78.225893,157.0,157.0,85.0,3.9,1.0,4.6,1.2,28.17,58.0,2.4,46.0,broken clouds,9,0,0,0
pt_00184,11.461685,78.45504,157.0,157.0,85.0,3.9,1.0,4.6,1.2,25.65,61.0,2.04,52.0,scattered clouds,6,0,0,0
pt_00185,11.461685,78.684188,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.4,60.0,3.39,44.0,broken clouds,0,0,0,0
pt_00186,11.461685,78.913335,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.93,59.0,5.26,24.0,broken clouds,18,0,0,0
pt_00187,11.461685,79.142483,160.0,160.0,75.0,8.0,3.0,6.1,40.1,27.31,59.0,6.24,13.0,broken clouds,17,0,0,0
